epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6800.71,1.29931,1.7238,1.07406,0.57325,0.53834,0.49796,0.3163,1.21603,1.29703,1.04083,0.00333283,0.00333283,0.00333283
2,13780.6,1.17575,1.07346,1.01951,0.56128,0.56218,0.53575,0.34292,1.19152,1.2036,1.04054,0.00660017,0.00660017,0.00660017
3,20607.5,1.16866,1.01341,1.01356,0.60156,0.60293,0.54914,0.35691,1.17358,1.20565,1.02351,0.00980151,0.00980151,0.00980151
4,27477.8,1.13347,0.95327,0.99914,0.63525,0.31521,0.34695,0.24399,1.30545,2.68621,1.09417,0.009703,0.009703,0.009703
5,34386.3,1.08816,0.8907,0.98179,0.67125,0.38969,0.45054,0.30845,1.22797,1.90247,1.04689,0.009604,0.009604,0.009604
6,41256,1.06429,0.85642,0.97325,0.64204,0.5612,0.537,0.35889,1.17941,1.31938,1.01956,0.009505,0.009505,0.009505
7,48127.5,1.04615,0.83611,0.9671,0.61799,0.58679,0.55539,0.36466,1.1873,1.21371,1.02654,0.009406,0.009406,0.009406
8,55105.6,1.03378,0.81819,0.96272,0.60847,0.58754,0.55943,0.36179,1.2028,1.20762,1.03903,0.009307,0.009307,0.009307
9,62009.5,1.02452,0.80906,0.96005,0.60264,0.58964,0.55648,0.35752,1.21224,1.23122,1.046,0.009208,0.009208,0.009208
10,68845.1,1.01426,0.7983,0.95534,0.59598,0.59147,0.55286,0.35439,1.21896,1.25833,1.05105,0.009109,0.009109,0.009109
11,75677.9,1.00706,0.78753,0.95325,0.59359,0.58427,0.54858,0.35125,1.22866,1.28113,1.05652,0.00901,0.00901,0.00901
12,82594.8,0.9988,0.77718,0.94989,0.58847,0.57821,0.54425,0.34791,1.23875,1.29764,1.06134,0.008911,0.008911,0.008911
13,89847.3,0.99116,0.772,0.94778,0.58472,0.57671,0.54263,0.34647,1.24502,1.3191,1.06402,0.008812,0.008812,0.008812
14,97056.7,0.98497,0.76465,0.94533,0.57123,0.58354,0.53918,0.34499,1.25556,1.33639,1.07038,0.008713,0.008713,0.008713
15,104290,0.97823,0.75692,0.94405,0.56131,0.58233,0.53626,0.34337,1.26135,1.34615,1.0734,0.008614,0.008614,0.008614
16,111438,0.97471,0.75454,0.9424,0.54489,0.59499,0.53543,0.34251,1.26649,1.35377,1.07684,0.008515,0.008515,0.008515
17,118339,0.96999,0.74856,0.94037,0.53355,0.59859,0.53367,0.34136,1.26975,1.37016,1.07982,0.008416,0.008416,0.008416
18,125258,0.96397,0.74195,0.93881,0.53571,0.59747,0.53475,0.34233,1.2735,1.37881,1.08241,0.008317,0.008317,0.008317
19,132086,0.95968,0.73725,0.93761,0.53043,0.59775,0.53267,0.34183,1.27557,1.38859,1.08408,0.008218,0.008218,0.008218
20,138952,0.95503,0.73338,0.93599,0.52611,0.59545,0.53004,0.34086,1.27595,1.39803,1.08547,0.008119,0.008119,0.008119
21,145798,0.9508,0.7278,0.93516,0.536,0.59148,0.52876,0.33941,1.27866,1.41241,1.08782,0.00802,0.00802,0.00802
22,152735,0.94789,0.725,0.93246,0.52929,0.59197,0.52849,0.33845,1.2792,1.41624,1.08776,0.007921,0.007921,0.007921
23,159587,0.94352,0.72101,0.93239,0.53241,0.58346,0.5274,0.33831,1.28153,1.42229,1.08911,0.007822,0.007822,0.007822
24,166456,0.94036,0.71418,0.93101,0.51986,0.5917,0.52682,0.33705,1.28118,1.43168,1.0895,0.007723,0.007723,0.007723
25,173332,0.93593,0.7129,0.92982,0.5254,0.57686,0.52653,0.33698,1.28372,1.44045,1.09079,0.007624,0.007624,0.007624
26,180214,0.93269,0.71025,0.92913,0.52338,0.57903,0.52818,0.33716,1.28617,1.44221,1.09268,0.007525,0.007525,0.007525
27,187062,0.92666,0.70349,0.92725,0.52955,0.57206,0.5289,0.33804,1.28785,1.44401,1.09474,0.007426,0.007426,0.007426
28,193980,0.92621,0.70379,0.92699,0.52728,0.57883,0.5303,0.33889,1.28991,1.4443,1.09694,0.007327,0.007327,0.007327
29,200819,0.92435,0.69909,0.92655,0.52811,0.57185,0.53025,0.33869,1.29156,1.4471,1.09743,0.007228,0.007228,0.007228
30,207712,0.91879,0.69477,0.92452,0.53372,0.56524,0.52925,0.33785,1.29337,1.44447,1.09748,0.007129,0.007129,0.007129
31,214624,0.91377,0.69105,0.92399,0.54035,0.56188,0.52804,0.33733,1.29336,1.44798,1.09812,0.00703,0.00703,0.00703
32,221517,0.91143,0.68923,0.92289,0.5379,0.56405,0.52647,0.3369,1.29815,1.45661,1.10052,0.006931,0.006931,0.006931
